Australia and Oceania,Tuvalu,Baby Food,9925,255.28,2533654
Central America and the Caribbean,Grenada,Cereal,2804,205.7,576782.8
Europe,Russia,Office Supplies,1779,651.21,1158502.59
Sub-Saharan Africa,Sao Tome and Principe,Fruits,8102,9.33,75591.66
Sub-Saharan Africa,Rwanda,Office Supplies,5062,651.21,3296425.02
Australia and Oceania,Solomon Islands,Baby Food,2974,255.28,759202.72
Sub-Saharan Africa,Angola,Household,4187,668.27,2798046.49
Sub-Saharan Africa,Burkina Faso,Vegetables,8082,154.06,1245112.92
Sub-Saharan Africa,Republic of the Congo,Personal Care,6070,81.73,496101.1
Sub-Saharan Africa,Senegal,Cereal,6593,205.7,1356180.1
Asia,Kyrgyzstan,Vegetables,124,154.06,19103.44
Sub-Saharan Africa,Cape Verde,Clothes,4168,109.28,455479.04
Asia,Bangladesh,Clothes,8263,109.28,902980.64
Central America and the Caribbean,Honduras,Household,8974,668.27,5997054.98
Asia,Mongolia,Personal Care,4901,81.73,400558.73
Europe,Bulgaria,Clothes,1673,109.28,182825.44
Asia,Sri Lanka,Cosmetics,6952,437.2,3039414.4
Sub-Saharan Africa,Cameroon,Beverages,5430,47.45,257653.5
Asia,Turkmenistan,Household,3830,668.27,2559474.1
Australia and Oceania,East Timor,Meat,5908,421.89,2492526.12
Europe,Norway,Baby Food,7450,255.28,1901836
Europe,Portugal,Baby Food,1273,255.28,324971.44
Central America and the Caribbean,Honduras,Snacks,2225,152.58,339490.5
Australia and Oceania,New Zealand,Fruits,2187,9.33,20404.71
Europe,Moldova ,Personal Care,5070,81.73,414371.1
Europe,France,Cosmetics,1815,437.2,793518
Australia and Oceania,Kiribati,Fruits,5398,9.33,50363.34
Sub-Saharan Africa,Mali,Fruits,5822,9.33,54319.26
Europe,Norway,Beverages,5124,47.45,243133.8
Sub-Saharan Africa,The Gambia,Household,2370,668.27,1583799.9
Europe,Switzerland,Cosmetics,8661,437.2,3786589.2
Sub-Saharan Africa,South Sudan,Personal Care,2125,81.73,173676.25
Australia and Oceania,Australia,Office Supplies,2924,651.21,1904138.04
Asia,Myanmar,Household,8250,668.27,5513227.5
Sub-Saharan Africa,Djibouti,Snacks,7327,152.58,1117953.66
Central America and the Caribbean,Costa Rica,Personal Care,6409,81.73,523807.57
Middle East and North Africa,Syria,Fruits,3784,9.33,35304.72
Sub-Saharan Africa,The Gambia,Meat,4767,421.89,2011149.63
Asia,Brunei,Office Supplies,6708,651.21,4368316.68
Europe,Bulgaria,Office Supplies,3987,651.21,2596374.27
Sub-Saharan Africa,Niger,Personal Care,3015,81.73,246415.95
Middle East and North Africa,Azerbaijan,Cosmetics,7234,437.2,3162704.8
Sub-Saharan Africa,The Gambia,Cereal,2117,205.7,435466.9
Europe,Slovakia,Vegetables,171,154.06,26344.26
Asia,Myanmar,Clothes,5930,109.28,648030.4
Sub-Saharan Africa,Comoros,Cereal,962,205.7,197883.4
Europe,Iceland,Cosmetics,8867,437.2,3876652.4
Europe,Switzerland,Personal Care,273,81.73,22312.29
Europe,Macedonia,Clothes,7842,109.28,856973.76
Sub-Saharan Africa,Mauritania,Office Supplies,1266,651.21,824431.86
Europe,Albania,Clothes,2269,109.28,247956.32
Sub-Saharan Africa,Lesotho,Fruits,9606,9.33,89623.98
Middle East and North Africa,Saudi Arabia,Cereal,4063,205.7,835759.1
Sub-Saharan Africa,Sierra Leone,Office Supplies,3457,651.21,2251232.97
Sub-Saharan Africa,Sao Tome and Principe,Fruits,7637,9.33,71253.21
Sub-Saharan Africa,Cote d'Ivoire,Clothes,3482,109.28,380512.96
Australia and Oceania,Fiji,Clothes,9905,109.28,1082418.4
Europe,Austria,Cosmetics,2847,437.2,1244708.4
Europe,United Kingdom,Household,282,668.27,188452.14
Sub-Saharan Africa,Djibouti,Cosmetics,7215,437.2,3154398
Australia and Oceania,Australia,Cereal,682,205.7,140287.4
Europe,San Marino,Baby Food,4750,255.28,1212580
Sub-Saharan Africa,Cameroon,Office Supplies,5518,651.21,3593376.78
Middle East and North Africa,Libya,Clothes,6116,109.28,668356.48
Central America and the Caribbean,Haiti,Cosmetics,1705,437.2,745426
Sub-Saharan Africa,Rwanda,Cosmetics,4477,437.2,1957344.4
Sub-Saharan Africa,Gabon,Personal Care,8656,81.73,707454.88
Central America and the Caribbean,Belize,Clothes,5498,109.28,600821.44
Europe,Lithuania,Office Supplies,8287,651.21,5396577.27
Sub-Saharan Africa,Madagascar,Clothes,7342,109.28,802333.76
Asia,Turkmenistan,Office Supplies,5010,651.21,3262562.1
Middle East and North Africa,Libya,Fruits,673,9.33,6279.09
Sub-Saharan Africa,Democratic Republic of the Congo,Beverages,5741,47.45,272410.45
Sub-Saharan Africa,Djibouti,Cereal,8656,205.7,1780539.2
Middle East and North Africa,Pakistan,Cosmetics,9892,437.2,4324782.4
North America,Mexico,Household,6954,668.27,4647149.58
Australia and Oceania,Federated States of Micronesia,Beverages,9379,47.45,445033.55
Asia,Laos,Vegetables,3732,154.06,574951.92
Europe,Monaco,Baby Food,8614,255.28,2198981.92
Australia and Oceania,Samoa ,Cosmetics,9654,437.2,4220728.8
Europe,Spain,Household,4513,668.27,3015902.51
Middle East and North Africa,Lebanon,Clothes,7884,109.28,861563.52
Middle East and North Africa,Iran,Cosmetics,6489,437.2,2836990.8
Sub-Saharan Africa,Zambia,Snacks,4085,152.58,623289.3
Sub-Saharan Africa,Kenya,Vegetables,6457,154.06,994765.42
North America,Mexico,Personal Care,6422,81.73,524870.06
Sub-Saharan Africa,Sao Tome and Principe,Beverages,8829,47.45,418936.05
Sub-Saharan Africa,The Gambia,Baby Food,5559,255.28,1419101.52
Middle East and North Africa,Kuwait,Fruits,522,9.33,4870.26
Europe,Slovenia,Beverages,4660,47.45,221117
Sub-Saharan Africa,Sierra Leone,Office Supplies,948,651.21,617347.08
Australia and Oceania,Australia,Beverages,9389,47.45,445508.05
Middle East and North Africa,Azerbaijan,Office Supplies,2021,651.21,1316095.41
Europe,Romania,Cosmetics,7910,437.2,3458252
Central America and the Caribbean,Nicaragua,Beverages,8156,47.45,387002.2
Sub-Saharan Africa,Mali,Clothes,888,109.28,97040.64
Asia,Malaysia,Fruits,6267,9.33,58471.11
Sub-Saharan Africa,Sierra Leone,Vegetables,1485,154.06,228779.1
North America,Mexico,Personal Care,5767,81.73,471336.91
Sub-Saharan Africa,Mozambique,Household,5367,668.27,3586605.09
